Site,Condition,Bird,UnitTemp,Date,Time,AntennaNum,Notes
1157Jenkins,BF,3B00497A68,26.3,24/08/2024,9:05:02,1,
1157Jenkins,BF,3B00497A68,26.2,24/08/2024,9:05:53,1,
1157Jenkins,BF,3B00497A68,26.2,24/08/2024,9:05:58,1,
1157Jenkins,BF,3B00497A68,26.2,24/08/2024,9:06:03,1,
1157Jenkins,BF,3B00497A68,26.2,24/08/2024,9:06:09,1,
1157Jenkins,BF,3B00497A68,26.2,24/08/2024,9:08:39,1,
1157Jenkins,BF,3B00497A68,26.2,24/08/2024,9:08:46,1,
1157Jenkins,BF,3B00497A68,27,24/08/2024,9:24:28,1,
1157Jenkins,BF,3B00497A68,29.8,24/08/2024,11:02:07,1,
1157Jenkins,BF,3B00497A68,29.9,24/08/2024,11:05:39,1,
1157Jenkins,BF,3B00497A68,32.2,24/08/2024,13:57:21,1,
1157Jenkins,BF,3B00497A68,32.2,24/08/2024,13:57:28,1,
1157Jenkins,BF,3B00497A68,32.2,24/08/2024,13:57:33,1,
1157Jenkins,BF,3B00497A68,32.2,24/08/2024,13:58:43,1,
1157Jenkins,BF,3B00497A68,31.9,24/08/2024,13:59:40,1,
1157Jenkins,BF,3B00497A68,31.9,24/08/2024,17:14:59,1,
1157Jenkins,BF,3B00497A68,31.9,24/08/2024,17:15:04,1,
1157Jenkins,BF,3B00497A68,31.9,24/08/2024,17:15:09,1,
1157Jenkins,BF,3B00497A68,31.6,24/08/2024,17:37:07,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:48:10,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:48:39,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:48:47,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:48:52,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:48:57,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:49:02,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:49:07,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:49:12,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:49:17,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:49:22,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:49:28,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:49:33,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:49:38,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:49:43,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:49:51,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:49:56,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:50:03,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:50:08,1,
1157Jenkins,BF,3B00497A68,32,24/08/2024,17:50:13,1,
1157Jenkins,BF,3B00497A68,19.1,25/08/2024,6:35:41,1,
1157Jenkins,BF,3B00497A68,19.1,25/08/2024,6:36:12,1,
1157Jenkins,BF,3B00497A68,19.1,25/08/2024,6:36:20,1,
1157Jenkins,BF,3B00497A68,19.1,25/08/2024,6:36:25,1,
1157Jenkins,BF,3B00497A68,19.1,25/08/2024,6:36:31,1,
1157Jenkins,BF,3B00497A68,19.1,25/08/2024,6:36:40,1,
1157Jenkins,BF,3B00497A68,19.1,25/08/2024,6:36:46,1,
1157Jenkins,BF,3B00497A68,19.1,25/08/2024,6:37:24,1,
1157Jenkins,BF,3B00497A68,19.1,25/08/2024,6:37:31,1,
1157Jenkins,BF,3B00497A68,19.1,25/08/2024,6:37:40,1,
1157Jenkins,BF,3B00497A68,19.1,25/08/2024,6:37:46,1,
1157Jenkins,BF,3B00497A68,19.1,25/08/2024,6:37:52,1,
1157Jenkins,BF,3B00497A68,19.1,25/08/2024,6:39:16,1,
1157Jenkins,BF,3B00497A68,19.3,25/08/2024,7:11:47,1,
1157Jenkins,BF,3B00497A68,19.3,25/08/2024,7:12:23,1,
1157Jenkins,BF,3B00497A68,19.3,25/08/2024,7:12:29,1,
1157Jenkins,BF,3B00497A68,19.3,25/08/2024,7:12:51,1,
1157Jenkins,BF,3B00497A68,19.3,25/08/2024,7:12:56,1,
1157Jenkins,BF,3B00497A68,19.3,25/08/2024,7:13:05,1,
1157Jenkins,BF,3B00497A68,19.3,25/08/2024,7:13:11,1,
1157Jenkins,BF,3B00497A68,19.2,25/08/2024,7:13:53,1,
1157Jenkins,BF,3B00497A68,19.2,25/08/2024,7:14:01,1,
1157Jenkins,BF,3B00497A68,19.2,25/08/2024,7:14:12,1,
1157Jenkins,BF,3B00497A68,19.2,25/08/2024,7:14:18,1,
1157Jenkins,BF,3B00497A68,19.2,25/08/2024,7:14:32,1,
1157Jenkins,BF,3B00497A68,19.2,25/08/2024,7:14:38,1,
1157Jenkins,BF,3B00497A68,19.2,25/08/2024,7:14:44,1,Dates/times wrong
1157Jenkins,BF,3B00497A68,19.2,25/08/2024,7:16:08,1,
1157Jenkins,BF,3B00497A68,19.3,25/08/2024,7:16:53,1,
1157Jenkins,BF,3B00497A68,19.3,25/08/2024,7:16:59,1,
1157Jenkins,BF,3B00497A68,19.3,25/08/2024,7:17:05,1,
1157Jenkins,BF,3B00497A68,19.3,25/08/2024,7:17:37,1,
1157Jenkins,BF,3B00497A68,19.3,25/08/2024,7:17:50,1,
1157Jenkins,BF,3B00497A68,19.3,25/08/2024,7:17:56,1,
1157Jenkins,BF,3B00497A68,26.1,25/08/2024,8:59:02,1,
1157Jenkins,BF,3B00497A68,26.1,25/08/2024,8:59:11,1,
1157Jenkins,BF,3B00497A68,26.1,25/08/2024,8:59:52,1,
1157Jenkins,BF,3B00497A68,26.4,25/08/2024,9:00:23,1,
1157Jenkins,BF,3B00497A68,26.4,25/08/2024,9:00:38,1,
1157Jenkins,BF,3B00497A68,26.4,25/08/2024,9:03:49,1,
1157Jenkins,BF,3B00497A68,26.4,25/08/2024,9:04:19,1,
1157Jenkins,BF,3B00497A68,26.3,25/08/2024,9:08:15,1,
1157Jenkins,BF,3B00497A68,26.3,25/08/2024,9:08:45,1,
1157Jenkins,BF,3B00497A68,30,25/08/2024,10:48:43,1,
1157Jenkins,BF,3B00497A68,30.2,25/08/2024,10:50:32,1,
1157Jenkins,BF,3B00497A68,30.2,25/08/2024,10:50:37,1,
1157Jenkins,BF,3B00497A68,30.2,25/08/2024,10:50:54,1,
1157Jenkins,BF,3B00497A68,31.3,25/08/2024,11:31:49,1,
1157Jenkins,BF,3B00497A68,34.4,25/08/2024,14:09:37,1,
1157Jenkins,BF,3B00497A68,34.4,25/08/2024,14:09:58,1,
1157Jenkins,BF,3B00497A68,34.4,25/08/2024,14:10:04,1,
1157Jenkins,BF,3B00497A68,34.4,25/08/2024,14:11:17,1,
1157Jenkins,BF,3B00497A68,34.4,25/08/2024,14:11:42,1,
1157Jenkins,BF,3B00497A68,34.4,25/08/2024,14:11:47,1,
1157Jenkins,BF,3B00497A68,34.7,25/08/2024,14:26:39,1,
1157Jenkins,BF,3B00497A68,34.8,25/08/2024,16:01:46,1,
1157Jenkins,BF,3B00497A68,34.8,25/08/2024,16:01:58,1,
1157Jenkins,BF,3B00497A68,33.8,25/08/2024,16:45:47,1,
1157Jenkins,BF,3B00497A68,33.8,25/08/2024,16:45:52,1,
1157Jenkins,BF,3B00497A68,33.4,25/08/2024,17:03:18,1,
1157Jenkins,BF,3B00497A68,33.1,25/08/2024,17:34:30,1,
1157Jenkins,BF,3B00497A68,20.8,26/08/2024,7:17:03,1,
1157Jenkins,BF,3B00497A68,20.8,26/08/2024,7:17:23,1,
1157Jenkins,BF,3B00497A68,20.8,26/08/2024,7:18:22,1,
1157Jenkins,BF,3B00497A68,20.8,26/08/2024,7:18:48,1,
1157Jenkins,BF,3B00497A68,20.8,26/08/2024,7:18:53,1,
1157Jenkins,BF,3B00497A68,20.8,26/08/2024,7:19:11,1,
1157Jenkins,BF,3B00497A68,20.8,26/08/2024,7:19:54,1,
1157Jenkins,BF,3B00497A68,20.8,26/08/2024,7:20:05,1,
1157Jenkins,BF,3B00497A68,34.3,26/08/2024,13:55:52,1,
1157Jenkins,BF,3B00497A68,34.5,26/08/2024,13:56:50,1,
1157Jenkins,BF,3B00497A68,34.5,26/08/2024,13:56:55,1,
1157Jenkins,BF,3B00497A68,34.5,26/08/2024,14:31:35,1,
1157Jenkins,BF,3B00497A68,29,27/08/2024,8:50:36,1,
1157Jenkins,BF,3B00497A68,29,27/08/2024,8:50:45,1,
1157Jenkins,BF,3B00497A68,30.3,27/08/2024,9:21:31,1,
1157Jenkins,BF,3B00497A68,35.1,27/08/2024,12:24:39,1,
1157Jenkins,BF,3B00497A68,34.9,27/08/2024,12:36:17,1,
1157Jenkins,BF,3B00497A68,34.9,27/08/2024,12:36:31,1,
1157Jenkins,BF,3B00497A68,35.4,27/08/2024,13:51:14,1,
1157Jenkins,BF,3B00497A68,37,27/08/2024,14:43:11,1,
861Ogletree,BF,3B0049827C,26.9,12/10/2024,15:19:37,1,
861Ogletree,BF,3B0049827C,24.3,12/10/2024,18:26:49,1,
861Ogletree,BF,3B0049827C,28.1,14/10/2024,13:32:41,1,
861Ogletree,BF,3B0049827C,25.4,14/10/2024,16:20:06,1,
861Ogletree,BF,3B0049827C,24.2,15/10/2024,14:11:48,1,
861Ogletree,BF,3B0049827C,20.9,15/10/2024,18:18:11,1,
861Ogletree,BF,3B0049827C,16.7,17/10/2024,11:32:52,1,
861Ogletree,BF,3B0049827C,16.7,17/10/2024,11:33:00,1,
861Ogletree,BF,3B0049827C,21.6,18/10/2024,13:06:27,1,
861Ogletree,BF,3B0049827C,14.6,19/10/2024,9:45:47,1,
861Ogletree,BF,3B0049827C,24.3,19/10/2024,15:59:10,1,
861Ogletree,BF,3B0049827C,8.8,20/10/2024,7:48:23,1,
861Ogletree,BF,3B0049827C,26.4,20/10/2024,13:48:55,1,
861Ogletree,BF,3B0049827C,26.4,20/10/2024,13:49:44,1,
861Ogletree,BF,3B0049827C,15.8,21/10/2024,9:52:22,1,
861Ogletree,BF,3B0049827C,26.1,21/10/2024,17:18:36,1,
861Ogletree,BF,3B0049827C,28.6,22/10/2024,15:30:39,1,
861Ogletree,BF,3B0049827C,28.1,23/10/2024,12:07:22,1,
861Ogletree,BF,3B0049827C,28.4,23/10/2024,14:25:31,1,
861Ogletree,BF,3B0049827C,28.6,24/10/2024,12:12:33,1,
861Ogletree,BF,3B0049827C,29.1,25/10/2024,17:02:11,1,
861Ogletree,BF,3B0049827C,26.8,26/10/2024,11:17:56,1,
861Ogletree,BF,3B0049827C,30.1,26/10/2024,17:03:53,1,
